5338.396884463293,-13328.257259481445
5322.525188379665,-13302.450160597164
5330.392655127736,-13261.488952540918
5302.277678184966,-13231.552330431057
5285.722255276989,-13234.273004645394
5254.207197143475,-13195.493301405213
5238.39468354664,-13163.162769746463
5233.656485082592,-13129.776108469636
5219.3809361360645,-13109.87247452893
5196.809849815601,-13113.012527775227
5161.558716539821,-13109.300850121297
5127.123989937545,-13094.764049785104
5094.986798456443,-13078.325601120503
5080.275026753348,-13076.73247643546
5065.965646909138,-13080.017318220154
